
commentaire,source
"Ce produit est incroyable, je l'adore !",site_web
"Livraison très lente et service client absent.",email
"Pas mal, mais un peu cher pour la qualité.",site_web
"Je suis très déçu, ça ne marche pas.",call_center
"Excellent rapport qualité prix, merci.",site_web
"L'interface est intuitive mais ça bug parfois.",app_mobile
"Une catastrophe, fuyez !",email
"Service impeccable, comme toujours.",site_web
"Je ne recommande pas du tout.",site_web
"C'est exactement ce que je cherchais.",app_mobile
